20101004225712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :  Medtronic..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou à la crème Chantilly ou pâtissière,g,100,,,28.90,,unité de 80g,1,,,23.1,,,,,,,,,,,,,,,,,,,
Chou blanc ou rouge cru| cuit,g,100,,,3.50,,assiette de 200g,1,,,7,,,,,,,,,,,,,,,,,,,
Chou chinois| chou romanesco,g,100,,,2.50,,assiette de 200g,1,,,5,,,,,,,,,,,,,,,,,,,
Chou de Bruxelles cuit,g,100,,,3.20,,assiette de 200g,1,,,6,,g (conserve d'Aucy),100,,,7.4,,,,,,,,,,,,,
Chou fleur cru| cuit,g,100,,,2.00,,assiette de 200g,1,,,4,,,,,,,,,,,,,,,,,,,
Chou vert cuit,g,100,,,2.00,,assiette de 200g,1,,,4,,,,,,,,,,,,,,,,,,,
Choucroute (chou seul),g,100,,,4.00,,assiette de 200g,1,,,8,,,,,,,,,,,,,,,,,,,
Choucroute garnie avec 4 petites p de terre,assiette de 450g,1,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,
Chouquette,g,100,,,40.00,,unité de 10g,1,,,4,,,,,,,,,,,,,,,,,,,
Cidre brut 4°,ml,100,,,2.50,,petit verre (10cl),1,,,3,,bolée (20cl),1,,,6,,,,,,,,,,,,,
Cidre doux 2°,ml,100,,,6.00,,petit verre (10cl),1,,,6,,bolée (20cl),1,,,12,,,,,,,,,,,,,
Cigarette russe,g,100,,,70.00,,,,,,,,,,,,,,,,,,,,,,,,,
Cinzano,ml,100,,,12.50,,dose (4cl),1,,,5,,,,,,,,,,,,,,,,,,,
Citron| citron vert (hors peau),g,100,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,
Clafoutis,part,1,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,
Clémentine épluchée,g,100,,,10.40,,moyenne (70g),1,,,7,,portion de 3,1,,,21,,,,,,,,,,,,,
Clusters Nestlé,g,100,,,62.50,,bol de 40g,1,,,25,,,,,,,,,,,,,,,,,,,
Coca cola,ml,100,,,11.20,,gobelet de 25cl,1,,,28,,gobelet de 40 cl,1,,,44,,canette de 33cl,1,,,33,,ml,100,,,11.2,
Coca cola light ou zéro,ml,100,,,0.00,,ml,100,,,0,,,,,,,,,,,,,,,,,,,
Cocktail alcoolisé,ml,100,,,20.00,,petit verre (10cl),1,,,20,,,,,,,,,,,,,,,,,,,
Cocktail sans alcool,ml,100,,,12.00,,petit verre (10cl),1,,,12,,,,,,,,,,,,,,,,,,,
Coco (haricots grain),g,100,,,20.00,,assiette de 200g,1,,,40,,,,,,,,,,,,,,,,,,,
Coeur de boeuf (anone - fruit exotique),g,100,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,,
Coeur de palmier,g,100,,,5.00,,assiette de 100g,1,,,5,,,,,,,,,,,,,,,,,,,
Coing (hors peau et trognon),g,100,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,
Compote de fruit sans sucre ajouté,g,100,,,12.00,,coupelle de 100g ,1,,,12,,,,,,,,,,,,,,,,,,,
Compote de fruit sucrée (moyenne),g,100,,,20.00,,coupelle de 100g,1,,,20,,,,,,,,,,,,,,,,,,,
Concentré de tomate,g,100,,,15.00,,c. à soupe (20g),1,,,3,,,,,,,,,,,,,,,,,,,
Concombre,g,100,,,1.50,,assiette de 200g,1,,,3,,,,,,,,,,,,,,,,,,,
Cône glacé,ml,100,,,25.00,,unité 120ml,1,,,30,,,,,,,,,,,,,,,,,,,
Cône glacé (McDo),g,100,,,25.88,,unité de 85g,1,,,22,,,,,,,,,,,,,,,,,,,
Confiture allégée,g (Andros),100,,,45.00,,c. à soupe (30g) Andros,1,,,13.5,,g (Vivis),100,,,32,,c. à soupe (30g)  Vivis,1,,,9.6,,,,,,,
Confiture au fructose,g,100,,,23.33,,c. à soupe (30g),1,,,7,,,,,,,,,,,,,,,,,,,
Confiture extra de fraise (McDo),g,100,,,60.00,,portion de 30g,1,,,18,,,,,,,,,,,,,,,,,,,
Confiture ou gelée (moyenne),g,100,,,66.67,,c. à soupe (30g),1,,,20,,,,,,,,,,,,,,,,,,,
Congolais (ou rocher à la noix de coco),g (marque Locmaria),100,,,57.50,,petit (recette maison),1,,,7,,grand (boulangerie),1,,,15,,,,,,,,,,,,,
Cookie au chocolat ou pépites ou fourrés cacao,g,100,,,57.00,,portion de 2,1,,,20,,biscuit de 16.7g,1,,,10,,,,,,,,,,,,,
Cookie Hello,g,100,,,59.00,,portion de 2 biscuits nougatine,1,,,20,,biscuit de 16.7g,1,,,9.8,,,,,,,,,,,,,
