20091215223110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :  Swiss Food Composition Database V2.0 - ETH Zurich & Federal Office of Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| abricot| sucrée,g,100,79.69,0.72,20.89,0.09,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| ananas| non sucrée,g,100,48.60,0.40,12.70,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| ananas| sucrée,g,100,83.74,0.36,21.43,0.18,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| macédoine de fruits| non sucrée,g,100,49.64,0.48,13.48,0.21,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| macédoine de fruits| sucrée,g,100,77.85,0.44,20.45,0.19,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| pêche| non sucrée,g,100,42.90,0.50,12.00,0.10,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| pêche| sucrée,g,100,78.61,0.45,20.80,0.09,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| poire| non sucrée,g,100,53.10,0.40,14.50,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| poire| sucrée,g,100,87.79,0.36,23.05,0.27,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| purée de pommes| non sucrée,g,100,50.70,0.30,13.80,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| purée de pommes| sucrée,g,100,85.63,0.27,22.42,0.27,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de légumes| champignons de Paris,g,100,15.70,2.30,3.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de légumes| choucroute| sans jus,g,100,14.79,1.30,3.90,0.31,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de légumes| cornichon au vinaigre,g,100,12.10,0.70,3.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de légumes| maïs doux,g,100,95.78,3.00,20.50,1.22,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de légumes| maïs doux en épis,g,100,110.20,3.40,25.20,1.40,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de légumes| oignon au vinaigre,g,100,25.00,0.90,6.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de légumes| petit-pois,g,100,76.95,4.75,17.80,0.75,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de légumes| petit-pois et carottes,g,100,61.87,3.74,15.03,0.52,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de légumes| tomate| pelée,g,100,16.98,0.93,4.00,0.14,,,,,,,,,,,,,,,,,,,,,,,,
Coppa,g,100,314.50,29.30,0.20,21.83,,,,,,,,,,,,,,,,,,,,,,,,
Cornflakes (produit générique),g,100,350.00,7.15,83.00,0.60,,,,,,,,,,,,,,,,,,,,,,,,
Cotechino,g,100,449.50,17.20,0.00,42.30,,,,,,,,,,,,,,,,,,,,,,,,
Courgette| crue,g,100,17.00,1.80,3.00,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Crackers| biscuits salés,g,100,471.12,9.21,68.28,18.79,,,,,,,,,,,,,,,,,,,,,,,,
Crème à café,g,100,161.17,2.66,3.78,15.04,,,,,,,,,,,,,,,,,,,,,,,,
Crème à la vanille,g,100,147.73,2.55,27.07,3.19,,,,,,,,,,,,,,,,,,,,,,,,
Crème au chocolat,g,100,121.20,3.55,20.50,3.00,,,,,,,,,,,,,,,,,,,,,,,,
Crème de fromage frais (séré)| sucré,g,100,169.43,6.05,16.96,8.72,,,,,,,,,,,,,,,,,,,,,,,,
Crème d''huile végétale| Actilife Balance| Migros,g,100,819.00,0.00,0.00,91.00,,,,,,,,,,,,,,,,,,,,,,,,
Crème d''huile végétale| assaisonée| Mirador flüssig| Migros,g,100,774.00,0.50,0.00,86.00,,,,,,,,,,,,,,,,,,,,,,,,
Crème d''huile végétale| Suprema extra| Migros,g,100,819.00,0.00,0.00,91.00,,,,,,,,,,,,,,,,,,,,,,,,
Crème entière| pasteurisée,g,100,333.82,2.00,3.10,34.82,,,,,,,,,,,,,,,,,,,,,,,,
Crème entière| UHT,g,100,334.13,2.02,3.10,34.85,,,,,,,,,,,,,,,,,,,,,,,,
Crème fraiche (crème acidulée),g,100,335.40,2.30,2.80,35.00,,,,,,,,,,,,,,,,,,,,,,,,
Cresson| cru,g,100,11.80,2.20,2.90,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Croissant,g,100,354.75,8.21,42.03,17.98,,,,,,,,,,,,,,,,,,,,,,,,
Croissant aux noisette| pâte levée,g,100,368.10,7.07,61.45,11.67,,,,,,,,,,,,,,,,,,,,,,,,
Croissant aux noisettes| pâte feuilletée,g,100,441.96,6.50,49.36,25.48,,,,,,,,,,,,,,,,,,,,,,,,
Croissant complet,g,100,380.89,10.19,40.98,21.35,,,,,,,,,,,,,,,,,,,,,,,,
Croissant de Sils,g,100,422.39,8.68,42.66,25.00,,,,,,,,,,,,,,,,,,,,,,,,
Crustacés| crevette grise| crue,g,100,55.80,11.40,1.20,0.60,,,,,,,,,,,,,,,,,,,,,,,,
Crustacés| crevette rose| crue,g,100,91.88,18.50,1.50,1.32,,,,,,,,,,,,,,,,,,,,,,,,
Crustacés| langoustine| crue,g,100,93.30,19.60,0.80,1.30,,,,,,,,,,,,,,,,,,,,,,,,
Datte| sèche,g,100,290.50,2.50,76.10,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Demi-crème| pasteurisée,g,100,273.15,2.26,3.31,27.87,,,,,,,,,,,,,,,,,,,,,,,,
Demi-crème| UHT,g,100,250.73,2.56,3.69,25.08,,,,,,,,,,,,,,,,,,,,,,,,
Demie-crème| acidulé,g,100,174.05,3.00,3.20,16.58,,,,,,,,,,,,,,,,,,,,,,,,
Dinde| poitrine (escalope| émincé)| crue,g,100,108.00,24.00,0.00,1.32,,,,,,,,,,,,,,,,,,,,,,,,
Double crème| pasteurisée,g,100,424.60,2.10,2.80,45.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau carstique (Jura),g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau de fond (Plateau),g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau de fond (Tessin),g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau de lac (Plateau),g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale  Cristalp,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale  Eptinger,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Adelbodner,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Allegra,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Aproz,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Aqui,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Arkina,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Aven,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Contrex,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Coop Swiss Alpina,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Evian,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Ferrarelle,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Fontessa Elm,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Henniez,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Limpia,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale M-Budget,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Nendaz,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Passugger,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Perrier,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Rhäzünser,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale San Pellegrino,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Eau minérale Valser Classic,g,100,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
